,stop_id,code_departement,code_postal,stop_lat,stop_lon
0,1166825,75,75113,48.82694828196076,2.367038433387592
1,1166840,75,75108,48.87551971359774,2.325373620076727
2,1633,75,75111,48.85766372576006,2.3800362967955064
3,1634,75,75117,48.88371247603735,2.305557757514304
5,1642,75,75104,48.85513451823504,2.3613343390676635
6,1647,75,75111,48.86741082883539,2.363587825558049
7,1649,75,75105,48.843164692766834,2.3521103624150967
8,1655,75,75118,48.89154393063056,2.3493711153819112
9,1659,75,75120,48.86503429801815,2.3985414869122423
10,1660,92,92071,48.78148494919581,2.2972966908534893
11,1662,75,75102,48.8673503814313,2.3475672354150805
12,1666,75,75107,48.85093928843075,2.3261146548222844
13,1669,75,75107,48.85853335950824,2.323089248787209
15,1671,94,94068,48.80641960896216,2.47204505094563
16,1672,75,75105,48.85368078084504,2.344241399620317
17,1674,75,75119,48.88418929420877,2.367030441974567
19,1692,75,75106,48.84205985758205,2.328867050437212
20,1695,94,94076,48.78663801111984,2.367110527381649
21,1702,75,75109,48.872096123789774,2.339325555856426
22,1707,75,75117,48.88207083393704,2.3203983393099863
23,1729,75,75105,48.853599907885794,2.3439962410940125
24,1759,75,75112,48.84596603240645,2.366913179738312
25,1761,75,75104,48.86119339564163,2.3532869598707133
26,1773,75,75101,48.8623718215243,2.3365736007364304
29,1777,93,93078,48.97352603245434,2.5144841760344985
30,1780,75,75116,48.85753438251388,2.28559270581709
31,1781,75,75115,48.842012804057696,2.31329004383549
32,1785,75,75111,48.86294566166743,2.3868924045430804
33,1789,75,75112,48.84532311461395,2.4017863137606863
34,1794,75,75113,48.83111183825712,2.3557961457130645
35,1795,75,75109,48.88345565159549,2.327374993410356
37,1797,75,75119,48.8772239477293,2.392765050250897
38,1800,75,75110,48.877353095288015,2.349381423952599
40,1803,92,92051,48.88550610941816,2.258527470197358
41,1805,75,75104,48.85346358569476,2.357383972809163
43,1818,75,75116,48.847084858904864,2.273074914922012
44,1822,75,75108,48.88057689074842,2.309415946164807
45,1828,75,75114,48.832191599269656,2.3304069926293205
46,1834,75,75112,48.8474552623419,2.397771743610896
48,1837,93,93049,48.85346032384484,2.5137606489199347
50,1840,93,93051,48.84307613366186,2.581876398841592
51,1844,75,75111,48.86497429063367,2.36763241156394
52,1847,75,75109,48.87055921654488,2.332554482049589
53,1849,75,75109,48.87496305802612,2.3401567908492056
54,1856,92,92051,48.88129918549113,2.271915176017792
55,1858,75,75108,48.87953716638082,2.3268579472729614
58,1889,75,75109,48.8734618906704,2.3284804844734768
59,1893,75,75104,48.85780537313629,2.351460776513565
61,1895,75,75116,48.864350199647255,2.2940452637830906
62,1898,75,75110,48.87070082326957,2.3605786355872773
63,1901,75,75119,48.88287621621258,2.3705863361654225
65,1904,94,94042,48.821069678359656,2.4638349563053548
66,1905,75,75120,48.87524829462498,2.389329434152641
67,1912,92,92002,48.76254042207571,2.3047207763689053
68,1913,92,92062,48.89200565400341,2.2369831238174327
69,1918,93,93066,48.918116641116775,2.3626045185666085
70,1923,93,93013,48.93068622984963,2.4256937696090213
71,1928,75,75107,48.84699250092279,2.3165423447702307
72,1935,75,75108,48.87906043921274,2.3229746324058937
73,1947,92,92004,48.916574835983226,2.2943289646870606
74,1954,75,75110,48.8764170528791,2.358987046456328
75,1959,93,93070,48.90638216422644,2.331910473458932
76,1963,75,75110,48.87001535524704,2.370768799021465
77,1964,75,75101,48.85830005598138,2.347865087577108
79,1971,75,75109,48.872985824665165,2.33342622405285
80,1976,75,75114,48.8207684717254,2.339405170331693
81,1999,93,93029,48.93270980914856,2.455105345174671
82,2006,92,92014,48.78005093776892,2.3121626259597874
83,2008,75,75111,48.85680394896092,2.3705968196318707
85,2016,75,75115,48.8476991081708,2.302039143669263
87,2024,94,94068,48.80703580209233,2.509901668386353
88,2025,75,75108,48.86736657046978,2.3141910633936584
89,2048,75,75117,48.87567248598795,2.289444164481448
90,2052,75,75107,48.86145390429487,2.320309690507356
91,2057,75,75115,48.846852151949776,2.2954488279344742
92,2058,75,75111,48.851193819213286,2.398239140823123
93,2063,75,75104,48.85338911229207,2.3691646022087665
94,2065,75,75112,48.84143200664826,2.4008691933800934
96,2100,75,75103,48.86538117604685,2.355644931206877
98,2104,93,93001,48.903898047529474,2.3924800786724747
99,2110,75,75109,48.883931769934414,2.3493557085996466
100,2117,75,75112,48.84019224440348,2.3794772572660587
101,2124,75,75119,48.88079012282847,2.374155126662647
102,2126,75,75110,48.880839205836494,2.3565770153513177
103,2128,75,75111,48.86932916949657,2.3805363661617247
104,2134,75,75109,48.875825718038186,2.343345124573273
105,2136,75,75113,48.83555121667544,2.358752095191401
106,2137,75,75105,48.84670586906026,2.351335178972595
107,2150,75,75115,48.8463629755008,2.2856310658828742
109,2176,92,92040,48.82682988739414,2.278966861574341
110,2177,75,75113,48.8298632521128,2.3506227279320897
112,2191,75,75119,48.87960708893313,2.389415569653207
113,2206,75,75113,48.84341422414371,2.3641883928676424
