code_insee,commune
93070,Saint-Ouen
93005,Aulnay-Sous-Bois
93031,Epinay-Sur-Seine
93048,Montreuil
92002,Antony
93014,Clichy-Sous-Bois
93033,Gournay-Sur-Marne
92050,Nanterre
92026,Courbevoie
92073,Suresnes
92063,Rueil-Malmaison
92062,Puteaux
92049,Montrouge
93006,Bagnolet
92009,Bois-Colombes
92044,Levallois-Perret
92072,Sevres
92071,Sceaux
93079,Villetaneuse
94044,Limeil-Brevannes
93055,Pantin
93066,Saint-Denis
94038,L'Hay-Les-Roses
75111,Paris 11
92064,Saint-Cloud
94043,Le Kremlin-Bicetre
92014,Bourg-La-Reine
93049,Neuilly-Plaisance
94076,Villejuif
94055,Ormesson-Sur-Marne
94022,Choisy-Le-Roi
94017,Champigny-Sur-Marne
94046,Maisons-Alfort
92025,Colombes
92020,Chatillon
94078,Villeneuve-Saint-Georges
92040,Issy-Les-Moulineaux
92023,Clamart
94077,Villeneuve-Le-Roi
75119,Paris 19
92046,Malakoff
93039,L'Ile-Saint-Denis
93027,La Courneuve
94073,Thiais
93059,Pierrefitte-Sur-Seine
93007,Le Blanc-Mesnil
93032,Gagny
93010,Bondy
92022,Chaville
93057,Les Pavillons-Sous-Bois
94002,Alfortville
92004,Asnieres-Sur-Seine
94081,Vitry-Sur-Seine
94015,Bry-Sur-Marne
92024,Clichy
93051,Noisy-Le-Grand
94042,Joinville-Le-Pont
93015,Coubron
93077,Villemomble
93029,Drancy
94080,Vincennes
75114,Paris 14
75116,Paris 16
75106,Paris 06
92012,Boulogne-Billancourt
92078,Villeneuve-La-Garenne
93061,Le Pre-Saint-Gervais
93013,Le Bourget
94018,Charenton-Le-Pont
94041,Ivry-Sur-Seine
94068,Saint-Maur-Des-Fosses
93071,Sevran
94058,Le Perreux-Sur-Marne
94052,Nogent-Sur-Marne
93001,Aubervilliers
94060,La Queue-En-Brie
75103,Paris 03
75110,Paris 10
94071,Sucy-En-Brie
94021,Chevilly-Larue
93072,Stains
94074,Valenton
75118,Paris 18
93073,Tremblay-En-France
94033,Fontenay-Sous-Bois
93050,Neuilly-Sur-Marne
93047,Montfermeil
93064,Rosny-Sous-Bois
94004,Boissy-Saint-Leger
92035,La Garenne-Colombes
93063,Romainville
92048,Meudon
92060,Le Plessis-Robinson
93053,Noisy-Le-Sec
93008,Bobigny
94054,Orly
94011,Bonneuil-Sur-Marne
94047,Mandres-Les-Roses
92077,Ville-D'Avray
94067,Saint-Mande
94037,Gentilly
92019,Chatenay-Malabry
92007,Bagneux
93045,Les Lilas
75105,Paris 05
75109,Paris 09
75115,Paris 15
94028,Creteil
92075,Vanves
94079,Villiers-Sur-Marne
93078,Villepinte
94034,Fresnes
75107,Paris 07
75102,Paris 02
93074,Vaujours
92032,Fontenay-Aux-Roses
94003,Arcueil
94053,Noiseau
75108,Paris 08
75112,Paris 12
92033,Garches
92051,Neuilly-Sur-Seine
75120,Paris 20
75101,Paris 01
94016,Cachan
92036,Gennevilliers
94070,Santeny
94059,Le Plessis-Trevise
75117,Paris 17
92076,Vaucresson
93046,Livry-Gargan
94001,Ablon-Sur-Seine
94075,Villecresnes
92047,Marnes-La-Coquette
94019,Chennevieres Sur Marne
75113,Paris 13
94065,Rungis
94069,St Maurice
93062,Le Raincy
75104,Paris 04
94048,Marolles-En-Brie
93030,Dugny
94056,Perigny
