latitude,longitude,result_latitude,result_longitude,result_label,result_distance,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
48.829830695271106,2.376120009344837,48.829846,2.376188,34 Rue des Cadets de la France Libre 75013 Paris,5,housenumber,75113_1408_00034,34,Rue des Cadets de la France Libre,,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement
48.83496497071995,2.3680913458793973,48.835125,2.367944,52 Boulevard Vincent Auriol 75013 Paris,20,housenumber,75113_9853_00052,52,Boulevard Vincent Auriol,,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement
48.7900171447,2.38730085335,48.789664,2.387833,3 Rue Edouard Tremblay 94400 Vitry-sur-Seine,55,housenumber,94081_3120_00003,3,Rue Edouard Tremblay,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.824923,2.388401,48.824983,2.388011,2 Rue Bruneseau 75013 Paris,29,housenumber,75113_1339_00002,2,Rue Bruneseau,,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement
48.818836,2.399268,48.81866,2.399174,7 Allee de la Seine 94200 Ivry-sur-Seine,20,housenumber,94041_8680_00007,7,Allee de la Seine,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,
48.814734,2.401946,48.814879,2.401901,125 Bd Paul Vaillant Couturier 94200 Ivry-sur-Seine,16,housenumber,94041_7145_00125,125,Bd Paul Vaillant Couturier,,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,
48.782431,2.408506,48.781887,2.407631,141 Rue Léon Geffroy 94400 Vitry-sur-Seine,88,housenumber,94081_5167_00141,141,Rue Léon Geffroy,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
48.809200,2.317669,48.809301,2.317601,23 Avenue de Stalingrad 92220 Bagneux,12,housenumber,92007_8550_00023,23,Avenue de Stalingrad,,92220,Bagneux,"92, Hauts-de-Seine, Île-de-France",92007,,,
48.802253,2.3171,48.802195,2.317183,34 Avenue Henri Barbusse 92220 Bagneux,8,housenumber,92007_4440_00034,34,Avenue Henri Barbusse,,92220,Bagneux,"92, Hauts-de-Seine, Île-de-France",92007,,,
48.918155,2.344332,48.918258,2.344476,35 Boulevard Ornano 93200 Saint-Denis,15,housenumber,93066_6870_00035,35,Boulevard Ornano,,93200,Saint-Denis,"93, Seine-Saint-Denis, Île-de-France",93066,,,
48.72991364522915,2.3680290369907837,48.731427,2.369942,17 Promenade d’Orly 91550 Paray-Vieille-Poste,218,housenumber,91479_1155_00017,17,Promenade d’Orly,,91550,Paray-Vieille-Poste,"91, Essonne, Île-de-France",91479,,,
48.75971904378714,2.3663473510391806,48.759856,2.366417,2 Rue du Languedoc 94550 Chevilly-Larue,16,housenumber,94021_jnti08_00002,2,Rue du Languedoc,,94550,Chevilly-Larue,"94, Val-de-Marne, Île-de-France",94021,,,
48.7930681562,2.3493361364,48.793777,2.349918,112 Rue Edouard Vaillant 94800 Villejuif,89,housenumber,94076_3110_00112,112,Rue Edouard Vaillant,,94800,Villejuif,"94, Val-de-Marne, Île-de-France",94076,,,
48.77581799971328,2.3535653832637458,48.775847,2.353364,111 Rue de Bicêtre 94240 L'Haÿ-les-Roses,15,housenumber,94038_0650_00111,111,Rue de Bicêtre,,94240,L'Haÿ-les-Roses,"94, Val-de-Marne, Île-de-France",94038,,,
48.80989562848995,2.3495514005707068,48.810141,2.349379,92bis Rue Gabriel Péri 94250 Gentilly,30,housenumber,94037_4105_00092_bis,92bis,Rue Gabriel Péri,,94250,Gentilly,"94, Val-de-Marne, Île-de-France",94037,,,
48.82287877506322,2.358079894290851,48.822828,2.358017,144 Avenue d’Italie 75013 Paris,7,housenumber,75113_4754_00144,144,Avenue d’Italie,,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement
48.740444,2.35279,48.740661,2.352637,75 Rue des Alpes 94150 Rungis,26,housenumber,94065_2d2c5n_00075,75,Rue des Alpes,,94150,Rungis,"94, Val-de-Marne, Île-de-France",94065,,,
48.8434553153,2.5807873316,48.843336,2.579823,1 Boulevard du Ru de Nesles 93160 Noisy-le-Grand,71,housenumber,93051_2143_00001,1,Boulevard du Ru de Nesles,,93160,Noisy-le-Grand,"93, Seine-Saint-Denis, Île-de-France",93051,,,
48.8239430196,2.5263811066,48.823672,2.526541,90 Chemin des Boutaraines 94350 Villiers-sur-Marne,32,housenumber,94079_0107_00090,90,Chemin des Boutaraines,,94350,Villiers-sur-Marne,"94, Val-de-Marne, Île-de-France",94079,,,
48.8163698675,2.50240612937,48.816196,2.502531,161 Avenue Roger Salengro 94500 Champigny-sur-Marne,21,housenumber,94017_8237_00161,161,Avenue Roger Salengro,,94500,Champigny-sur-Marne,"94, Val-de-Marne, Île-de-France",94017,,,
48.8067914757,2.47270508293,48.806956,2.47288,5 Rue Bobillot 94100 Saint-Maur-des-Fossés,22,housenumber,94068_0715_00005,5,Rue Bobillot,,94100,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,
48.795610653,2.44973999863,48.796223,2.449146,Enceinte Metro Creteil Ech 94000 Créteil,80,locality,94028_b040,,Enceinte Metro Creteil Ech,,94000,Créteil,"94, Val-de-Marne, Île-de-France",94028,,,
48.7892598869,2.43279041983,48.789275,2.432988,122 Avenue de la Liberté 94700 Maisons-Alfort,14,housenumber,94046_5120_00122,122,Avenue de la Liberté,,94700,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046,,,
48.7823207627,2.40886689498,48.781887,2.407631,141 Rue Léon Geffroy 94400 Vitry-sur-Seine,102,housenumber,94081_5167_00141,141,Rue Léon Geffroy,,94400,Vitry-sur-Seine,"94, Val-de-Marne, Île-de-France",94081,,,
